Time;Elec_Central;PV;Wind;Heating;Cooling
"2025-01-01 00;00";load;Generation;Generation;load;load
s;MW;MW;MW;MW;MW
true;true;true;true;true;true
28454400;0.2011395929185431;0.0;0.035701000000000004;0.564036;0.0
28458000;0.19655654867687422;8.45e-08;0.03558;0.561801;0.0
28461600;0.21532120169790853;5.049e-07;0.035057000000000005;0.546479;0.0
28465200;0.22255873048251254;1.1768000000000001e-06;0.031175;0.522773;0.0
28468800;0.2119053992944233;1.6806e-06;0.030207;0.499987;0.0
28472400;0.21808755803233928;1.8339e-06;0.028246;0.47754800000000003;0.0
28476000;0.21970431784539163;1.3833e-06;0.032019;0.454266;0.0
28479600;0.21082918788156163;8.747e-07;0.045115999999999996;0.436909;0.0
28483200;0.2008464098342026;1.5e-08;0.047652;0.432568;0.0
28486800;0.21781582220446585;0.0;0.050849;0.450243;0.0
28490400;0.2096151396167554;0.0;0.064984;0.484997;0.0
28494000;0.22706183010400446;0.0;0.061914000000000004;0.488666;0.0
28497600;0.20323188712592868;0.0;0.047254;0.460309;0.0
28501200;0.17585474719976316;0.0;0.040826999999999995;0.43986000000000003;0.0
28504800;0.1097092176951727;0.0;0.040709;0.443578;0.0
28508400;0.08428620156531191;0.0;0.044109;0.44853899999999997;0.0
28512000;0.06880719757173238;0.0;0.044493000000000005;0.44442000000000004;0.0
28515600;0.06563194992462636;0.0;0.038095;0.452692;0.0
28519200;0.06414164960654874;0.0;0.03993;0.4567;0.0
28522800;0.062103294384091366;0.0;0.038052;0.455195;0.0
28526400;0.09552009923578121;0.0;0.045088;0.450023;0.0
28530000;0.19622115172667098;0.0;0.049237;0.447386;0.0
28533600;0.24590971986253785;0.0;0.053711;0.45367399999999997;0.0
28537200;0.21484462764284576;0.0;0.065824;0.469676;0.0
28540800;0.20157794007751118;0.0;0.06856999999999999;0.478529;0.0
28544400;0.19976794144717683;4.81e-08;0.069018;0.477314;0.0
28548000;0.21770604499521778;4.67e-07;0.082793;0.46501;0.0
28551600;0.22339304666729956;2.9209e-06;0.084246;0.445565;0.0
28555200;0.22132985138366446;2.8283e-06;0.087331;0.426878;0.0
28558800;0.2198687076593337;2.0137e-06;0.08082500000000001;0.40845299999999995;0.0
28562400;0.202430280238566;1.5058999999999998e-06;0.07972499999999999;0.389266;0.0
28566000;0.21722071903963924;1.0125e-06;0.07462;0.375132;0.0
28569600;0.207370800623169;1.3400000000000001e-08;0.067647;0.372194;0.0
28573200;0.20783300137312166;0.0;0.056081000000000006;0.388298;0.0
28576800;0.2212857264801711;0.0;0.064536;0.41933499999999996;0.0
28580400;0.24123069903844518;0.0;0.066552;0.42369999999999997;0.0
28584000;0.2115894520051135;0.0;0.07972499999999999;0.400368;0.0
28587600;0.17143338575058575;0.0;0.09531300000000001;0.383924;0.0
28591200;0.10977009202816546;0.0;0.100982;0.388687;0.0
28594800;0.08177767312106834;0.0;0.106298;0.39475299999999997;0.0
28598400;0.07194555489826135;0.0;0.11326;0.393033;0.0
28602000;0.06472544130202959;0.0;0.104842;0.40251600000000004;0.0
28605600;0.06309477725807007;0.0;0.103198;0.40851600000000005;0.0
28609200;0.06284358687802746;0.0;0.103821;0.409866;0.0
28612800;0.09694083085435581;0.0;0.106686;0.40816399999999997;0.0
28616400;0.18763003902186073;0.0;0.10985299999999999;0.40901600000000005;0.0
28620000;0.24188561292285787;0.0;0.11240699999999999;0.418389;0.0
28623600;0.21130718776713464;0.0;0.11318;0.437267;0.0
28627200;0.20557417236681383;0.0;0.11355;0.450106;0.0
28630800;0.1931187047942921;5.35e-08;0.11153400000000001;0.453972;0.0
28634400;0.21338753716562622;2.842e-07;0.10688299999999999;0.447583;0.0
28638000;0.2110719684205071;5.649e-07;0.096598;0.434399;0.0
28641600;0.2187061493251829;1.1953e-06;0.083501;0.42192399999999997;0.0
28645200;0.2170024994073471;1.6219e-06;0.069017;0.40965300000000004;0.0
28648800;0.20048331740036743;2.1771e-06;0.058969;0.39650599999999997;0.0
28652400;0.21200965656200368;1.3408e-06;0.055460999999999996;0.38837700000000003;0.0
28656000;0.19853049749967683;1.4399999999999998e-08;0.052703;0.391904;0.0
28659600;0.21227162080029352;0.0;0.0499;0.416037;0.0
28663200;0.21219181441607443;0.0;0.046604;0.45734199999999997;0.0
28666800;0.23292100544010264;0.0;0.039545000000000004;0.470489;0.0
28670400;0.20010655984540274;0.0;0.037689;0.45269;0.0
28674000;0.1679972831615941;0.0;0.034752000000000005;0.442001;0.0
28677600;0.1052393617501465;0.0;0.037094999999999996;0.455558;0.0
28681200;0.08275694053658668;0.0;0.042216000000000004;0.470883;0.0
28684800;0.06582086784224127;0.0;0.046716;0.476966;0.0
28688400;0.06423992050611751;0.0;0.042472;0.496696;0.0
28692000;0.061829039948774873;0.0;0.039352;0.512267;0.0
28695600;0.060419676591492465;0.0;0.040839;0.52191;0.0
28699200;0.09494817076405784;0.0;0.041683;0.5273479999999999;0.0
28702800;0.18769904541705762;0.0;0.041911000000000004;0.535693;0.0
28706400;0.25154405850870853;0.0;0.044901;0.554924;0.0
28710000;0.2114791884806412;0.0;0.044893999999999996;0.586687;0.0
28713600;0.1896520123818339;1.17e-08;0.044052999999999995;0.610208;0.0
28717200;0.19550989568476765;2.6445e-06;0.041686999999999995;0.621097;0.0
28720800;0.21735226556967024;6.6051000000000005e-06;0.033502000000000004;0.617174;0.0
28724400;0.2213725869669698;8.58e-06;0.027665;0.602887;0.0
28728000;0.22205879419055352;9.0385e-06;0.039348;0.588546;0.0
28731600;0.2198860393009599;8.774800000000001e-06;0.047247;0.573492;0.0
28735200;0.20508340008259512;6.3664e-06;0.041803;0.556268;0.0
28738800;0.20971641787871856;3.2e-06;0.032367;0.545277;0.0
28742400;0.20372148253431926;1.835e-07;0.029431000000000002;0.549971;0.0
28746000;0.2074271730628837;0.0;0.032532;0.582927;0.0
28749600;0.2214565064925061;0.0;0.033249;0.6391849999999999;0.0
28753200;0.2263785009563794;0.0;0.033485;0.655351;0.0
28756800;0.21185479322798384;0.0;0.032055999999999994;0.627992;0.0
28760400;0.17954367093027657;0.0;0.029043;0.6103010000000001;0.0
28764000;0.10895818481253076;0.0;0.025086999999999998;0.625776;0.0
28767600;0.08272179325728746;0.0;0.021184;0.643245;0.0
28771200;0.06771030246466195;0.0;0.01831;0.647765;0.0
28774800;0.0664774689599843;0.0;0.015880000000000002;0.670511;0.0
28778400;0.06377981066091397;0.0;0.014183999999999999;0.687315;0.0
28782000;0.06401703167782682;0.0;0.013504;0.695978;0.0
28785600;0.09904193147527891;0.0;0.013903;0.6989890000000001;0.0
28789200;0.18460755366935327;0.0;0.013876;0.705875;0.0
28792800;0.23711014709206094;0.0;0.012689;0.7270800000000001;0.0
28796400;0.2152836597888769;0.0;0.010863;0.764575;0.0
28800000;0.20038492102932934;7.199999999999999e-09;0.009103;0.7912480000000001;0.0
28803600;0.19304455383911098;2.7123000000000003e-06;0.007184;0.801676;0.0
28807200;0.20592843892529492;6.759e-06;0.005001;0.7933450000000001;0.0
28810800;0.21670475500961453;9.9433e-06;0.002891;0.772216;0.0
28814400;0.21912949194517917;1.1202200000000001e-05;0.001564;0.7516029999999999;0.0
28818000;0.21353828713400552;1.0174800000000001e-05;0.000893;0.730666;0.0
28821600;0.21113347879254396;8.0685e-06;0.0006039999999999999;0.7075370000000001;0.0
28825200;0.2189776811001366;4.4927999999999996e-06;0.0007099999999999999;0.692801;0.0
28828800;0.19475234235966174;3.024e-07;0.001296;0.698339;0.0
28832400;0.20608188322230583;0.0;0.002348;0.740017;0.0
28836000;0.2109643237846842;0.0;0.0039689999999999994;0.811486;0.0
28839600;0.22713470939168842;0.0;0.006035;0.832228;0.0
28843200;0.19813592866731947;0.0;0.007357;0.797783;0.0
28846800;0.16947226220190809;0.0;0.007163999999999999;0.7756230000000001;0.0
28850400;0.11382079797630772;0.0;0.005626;0.795575;0.0
28854000;0.08097507500217822;0.0;0.003758;0.817976;0.0
28857600;0.07314374752532389;0.0;0.003572;0.8237530000000001;0.0
28861200;0.06595483566403042;0.0;0.004961;0.852482;0.0
28864800;0.06398620324803649;0.0;0.007787;0.8733529999999999;0.0
28868400;0.06172334496214565;0.0;0.010048999999999999;0.8835069999999999;0.0
28872000;0.09932727376245887;0.0;0.011336;0.886061;0.0
28875600;0.18659219462803583;0.0;0.011667;0.893039;0.0
28879200;0.23848177167208126;0.0;0.012583;0.9175270000000001;0.0
28882800;0.21416981061546922;0.0;0.014882999999999999;0.961767;0.0
28886400;0.19436753606868915;0.0;0.018205;0.991446;0.0
28890000;0.19015445473895407;5.945e-07;0.019412;0.999841;0.0
28893600;0.21352666327453623;2.4004000000000003e-06;0.016766;0.984041;0.0
28897200;0.2253424774544818;5.7776e-06;0.015295999999999999;0.951761;0.0
28900800;0.2205014603567342;7.2992e-06;0.014112;0.919625;0.0
28904400;0.21251774061699144;5.342e-06;0.013897;0.886632;0.0
28908000;0.20702348565922962;2.6136e-06;0.013356;0.850614;0.0
28911600;0.21108207047092906;1.1211e-06;0.013593;0.8244109999999999;0.0
28915200;0.204283560453067;6.87e-08;0.017530999999999998;0.821847;0.0
28918800;0.2122447644694962;0.0;0.020273;0.860672;0.0
28922400;0.21522268463975172;0.0;0.020157;0.932122;0.0
28926000;0.2383517628851698;0.0;0.016661000000000002;0.9436140000000001;0.0
28929600;0.1994172368398777;0.0;0.011510999999999999;0.892486;0.0
28933200;0.17242115111663991;0.0;0.0070149999999999995;0.855807;0.0
28936800;0.11157930601081115;0.0;0.003625;0.8655539999999999;0.0
28940400;0.0813239219638172;0.0;0.002649;0.8773200000000001;0.0
28944000;0.07002195373927243;0.0;0.00529;0.870908;0.0
28947600;0.06349541266108732;0.0;0.008433;0.888394;0.0
28951200;0.06284274112387588;0.0;0.011144;0.8971760000000001;0.0
28954800;0.06273278568084138;0.0;0.012406;0.8947930000000001;0.0
28958400;0.09651087167108786;0.0;0.015018;0.8848959999999999;0.0
28962000;0.18371736639808928;0.0;0.016834;0.879715;0.0
28965600;0.23728224458912414;0.0;0.016679;0.8918550000000001;0.0
28969200;0.20668181719955245;0.0;0.019976;0.922879;0.0
28972800;0.20632802471911763;0.0;0.025124;0.939671;0.0
28976400;0.1974435670793812;2.752e-07;0.028839;0.936562;0.0
28980000;0.2135749282289944;8.464000000000001e-07;0.028795;0.9116380000000001;0.0
28983600;0.22160624129709738;1.3199e-06;0.027174;0.872737;0.0
28987200;0.22767237340334984;1.3419e-06;0.027315000000000002;0.835398;0.0
28990800;0.21843568499338561;1.0715999999999998e-06;0.026835;0.798682;0.0
28994400;0.21251139568359856;6.477000000000001e-07;0.025174;0.76061;0.0
28998000;0.21941045038463092;2.213e-07;0.023132;0.7325119999999999;0.0
29001600;0.20362645174313282;0.0;0.021550999999999997;0.726322;0.0
29005200;0.20900582224979308;0.0;0.020811;0.757269;0.0
