Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
4478400;0.12812003260133947;0.20612968651366;0.19461230732363938;0.5508435347192987;0.527186459509357;0.08988475343601335;0.1321696829406661;0.06368566359802853;0.17757246626414053;0.02999811875993735;2.205394797049965;8.108920167302918;12.369849491750966;2.0702045869061436;0.0;0.0;0.046121;0.396797;0.0
4482000;0.10636992065923997;0.24297307082864236;0.1595212322338179;0.5086166335225734;0.22605731319081673;0.08590745904562506;0.13571233520860582;0.04829624390158643;0.1575959307576264;0.025768658899726397;2.528594694073119;7.666547128112085;12.580075999949806;1.6710501393485342;0.0;0.0;0.043101;0.381809;0.0
4485600;0.06732902704522765;0.23277958944505628;0.09598030133267413;0.2989651747625876;0.06361553167492792;0.04373613431889576;0.1314175142419861;0.032912441665514935;0.1579564138082166;0.028913083257552975;2.3315920841668625;7.50523282578572;12.37618040531849;1.124692128295087;0.0;0.0;0.036077;0.38781299999999996;0.0
4489200;0.06870508626610093;0.22031208222561943;0.09804954235920016;0.12614981095571062;0.05941553536431969;0.021995742626560344;0.11743271496583559;0.030841551646731948;0.07714964692422344;0.026604536831057644;2.417030847212165;8.574276402251462;11.249790294292904;0.8200517133343022;0.0;0.0;0.026029;0.395053;0.0
4492800;0.07292129949159318;0.19500757250789147;0.09206985168691333;0.06408728683753147;0.061062241391325524;0.010520502795055581;0.12861266225085793;0.03194726740124218;0.03668641658649894;0.026174441449029286;2.51955797116438;7.365691001805256;11.650446205236381;0.6929151009489097;0.0;0.0;0.018734;0.39437700000000003;0.0
4496400;0.07390062112411994;0.18868900707875136;0.09165695219719872;0.05187193536333805;0.06564688209540258;0.004554834310364747;0.11880046551249554;0.02808323213660947;0.019598344698546103;0.028159146300629514;2.1699375680703388;7.366085056585514;11.577252018649078;0.6428022745168266;0.0;0.0;0.014564;0.404778;0.0
4500000;0.06468742382997456;0.1876125735898158;0.0908984860236352;0.031876050090483866;0.057783234250110456;0.007713372070773886;0.12820911747683242;0.031032404764537582;0.020420040143428575;0.02710066425301795;2.3602060702714693;7.915302362649498;11.798686183087339;0.6202327022395924;0.0;0.0;0.010702999999999999;0.411482;0.0
4503600;0.07061560264843741;0.20823323775357352;0.09278878500387291;0.021676361578296527;0.06380469552557472;0.007037263611110725;0.12403852692512796;0.027530422492440663;0.021903040103808738;0.031246216034629883;2.503493835645038;7.426831290625204;11.964608738060708;0.6376279356422432;0.0;0.0;0.007819;0.413242;0.0
4507200;0.06919995442107237;0.20092179796740556;0.09762487596515906;0.11822354801824575;0.2377630372360863;0.021824924504904707;0.11684864248505869;0.029972205818118425;0.05717308369184307;0.031160981509284084;2.2932526333289496;8.504062209595242;12.952199743755205;0.9495520701078939;0.0;0.0;0.005799;0.41161200000000003;0.0
4510800;0.14702867373848152;0.22269117991128598;0.21703670043526518;0.34607814050689484;0.6078680126361046;0.025377564622253587;0.12822547236070603;0.06426515795359472;0.1566589381776927;0.026718910618544985;2.541143630506414;7.81673255836763;13.34273951674774;1.9152298403422792;0.0;0.0;0.004104;0.412208;0.0
